id	name	description	armor_type	level	price	eac_bonus	kac_bonus	max_dex_bonus	ac_penalty	speed_penalty	upgrade_slots	bulk	source	source_page
85	Grave Mantle, Officer	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	17	256500	20	22	5	0	0	3	L	ARM	68
86	Freebooter Armor V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	18	367650	20	21	8	0	0	5	L	CRB	199
87	Polyplate, Paragon	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	18	345000	19	21	7	0	0	5	L	DF03	44
88	Regimental Dress III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	18	387000	22	22	6	0	0	4	L	ARM	71
89	Void Hide III (Hybrid, Worn)	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	18	382500	20	22	6	1	0	3	1	AA3	121
90	Zeizerer Diffractor V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	18	340000	20	20	9	0	0	4	L	PWD	196
91	D-Suit VI	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	19	552000	21	22	8	0	0	6	L	CRB	199
92	Lashunta Mind Mail IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	19	556000	22	22	7	0	0	5	L	ARM	70
93	Carbon Skin, Nanotube	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	20	825000	21	23	8	1	0	6	1	CRB	199
94	Hardlight Series, Specialist	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	light	20	928000	22	22	8	0	0	6	L	CRB	199
95	Shiftskin III	<p>Developed by the reptoids for their agents, shiftskin comes in a variety of designs styled to resemble normal clothing, uniforms, and even other light armors. Each suit of shiftskin is designed to accommodate both its owner’s natural form and one other specific assumed form of another race, shifting and reshaping as needed when the reptoid changes shape. Thus a suit of shiftskin can be adjusted to accommodate two different forms (Core Rulebook 196), rather than fitting only one form at a time.<br/> Shiftskin has been adapted for use by other races. Even when used by non-reptoids, an individual suit can still can be adapted to shift between two different forms, so long as those forms are no more than one size category apart. Though obviously of use for non-reptoid shapeshifters, this also allows the same suit to fit two different wearers.</p>	light	20	886500	22	24	7	1	0	5	1	ARM	71
96	Ceremonial Plate, Troop	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	1	110	1	3	2	3	10	3	3	CRB	199
97	Golemforged Plating I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	1	250	2	5	0	3	10	0	3	CRB	199
98	Lashunta Ringwear I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	1	415	2	4	2	2	5	0	2	CRB	202
99	Reinforced Eva Suit I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	1	200	1	4	1	3	5	1	2	ARM	71
100	Formian Plate, Worker	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	480	3	6	1	3	5	0	3	AA2	53
101	Hellknight Plate, Armiger	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	980	4	5	2	2	10	2	3	PWD	196
102	Hidden Soldier Armor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	465	3	5	2	2	5	1	2	CRB	199
103	Iridishell, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	755	3	6	2	2	5	0	2	CRB	199
104	Kyokor Plating I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	800	2	4	3	1	5	1	1	AA1	73
105	Mining Jack I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	2	825	4	6	1	3	5	1	2	ARM	70
106	Thinplate	<p>Devised by androids, thinplate is a dense polyethylene layer that looks lightweight while providing significant protection. This type of heavy armor is thin enough to be worn under loose outfits, but the rigid polyethylene restricts movement and slows the wearer. Thinplate can be molded into a variety of styles, though a simple breastplate plus limb guards is the most common form.</p>	heavy	2	1000	4	6	2	3	10	1	3	CRB	202
107	Battle Dress, Ag Trooper	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	3	1650	5	7	2	3	10	1	3	AA1	7
108	Defiance Series, Squad	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	3	1220	5	8	1	4	10	1	3	CRB	199
109	Golemforged Plating II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	3	1610	5	7	2	2	10	1	3	CRB	199
110	Reinforced Eva Suit II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	3	1300	4	8	1	3	5	1	3	ARM	71
111	Ceremonial Plate, Officer	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	4	2275	6	8	2	2	5	1	2	CRB	199
112	Dendron Armor, Ash	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	4	2100	5	8	3	2	5	0	2	ARM	68
113	Formian Hide, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	4	2400	7	8	2	3	5	2	2	PWD	196
114	Formian Plate, Warrior	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	4	1830	5	8	1	3	5	0	3	AA2	53
115	Kalo Encounter Suit I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	4	1980	7	8	2	3	10	1	3	ARM	70
116	Enforcer Armor I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	5	3100	9	10	2	4	10	2	3	ARM	68
117	Fossilwrap I	<p>Meant for first-wave boarding actions, fossilwrap armor is a cage of alchemically treated bones and steel. This armor is meant to shrug off most incoming blows while giving the wearer some amount of mobility in the thick of combat.</p>	heavy	5	3100	9	9	2	2	5	1	2	DS03	48
118	Hardplate, Basic	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	5	3000	10	11	3	2	5	0	2	DS04	44
119	Hellknight Plate, Lictor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	5	3300	9	10	2	2	10	2	3	PWD	196
120	Lashunta Ringwear II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	5	2970	8	10	2	2	5	1	2	CRB	202
121	Mining Jack II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	5	2750	8	11	1	3	10	2	3	ARM	70
122	Inheritor Grace I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	6	4450	9	10	3	2	5	2	2	ARM	68
123	Kyokor Plating II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	6	4820	8	10	4	1	5	3	1	AA1	73
124	Reinforced Eva Suit III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	6	4060	8	12	2	3	10	2	3	ARM	71
125	Vesk Overplate I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	6	3910	9	11	3	2	5	1	2	CRB	202
126	Ceremonial Plate, Commander	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	7	7350	10	12	2	3	10	5	3	CRB	199
127	Defiance Series, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	7	6300	10	13	2	4	10	2	3	CRB	199
128	Dendron Armor, Yew	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	7	6600	10	13	3	2	5	1	2	ARM	68
129	Formian Hide, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	7	6100	10	12	3	3	5	3	2	PWD	196
130	Golemforged Plating III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	7	5500	10	12	3	2	5	2	2	CRB	199
131	Lashunta Ringwear III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	8	8420	12	14	3	2	5	3	2	CRB	202
132	Night Plate I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	8	9400	11	13	4	2	5	2	2	ARM	70
133	Vesk Overplate II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	8	10250	13	15	2	3	10	3	3	CRB	202
134	Hardplate, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	9	12000	15	16	3	2	5	0	2	DS04	44
135	Hellknight Plate, Maralictor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	9	14500	16	17	2	2	10	4	3	PWD	196
136	Iridishell, Advanced	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	9	13100	13	15	3	0	0	3	2	CRB	199
137	Kalo Encounter Suit II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	9	12900	15	16	2	3	10	3	3	ARM	70
138	Skyfire Armor, Pinion	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	9	14200	14	16	3	2	5	4	2	CRB	202
139	Battle Dress, Ag Command	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	18750	15	17	3	3	10	2	3	AA1	7
140	Defiance Series, Specialist	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	16950	15	18	2	4	10	3	3	CRB	199
141	Dendron Armor, Oak	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	18450	14	17	3	2	5	2	2	ARM	68
142	Formian Hide, Superior	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	16500	15	17	3	4	5	3	2	PWD	196
143	Kyokor Plating III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	17100	13	16	4	2	5	3	1	AA1	73
144	Mining Jack III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	10	17150	15	19	1	3	10	3	3	ARM	70
145	Enforcer Armor II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	11	23725	17	19	2	4	10	4	3	ARM	68
146	Golemforged Plating IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	11	24800	15	17	3	3	10	6	3	CRB	199
147	Lashunta Ringwear IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	11	27100	16	18	4	3	5	4	2	CRB	202
148	Vesk Overplate III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	11	23400	16	18	3	2	5	4	2	CRB	202
149	Aegis Series, Squad	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	45200	17	19	3	5	10	5	3	CRB	199
150	Formian Plate, Taskmaster	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	42000	16	19	3	4	10	1	3	AA2	53
151	Iridishell, Superior	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	42250	17	18	4	0	0	4	2	CRB	199
152	Night Plate II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	37500	15	17	5	2	5	4	2	ARM	70
153	Vesk Monolith I	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	12	39650	16	18	4	2	5	5	2	CRB	202
154	Fossilwrap II	<p>Meant for first-wave boarding actions, fossilwrap armor is a cage of alchemically treated bones and steel. This armor is meant to shrug off most incoming blows while giving the wearer some amount of mobility in the thick of combat.</p>	heavy	13	55000	19	19	4	2	5	5	2	DS03	48
155	Hardplate, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	48000	19	20	4	3	5	0	2	DS04	44
156	Kalo Encounter Suit III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	48500	20	21	3	3	10	4	3	ARM	70
157	Skyfire Armor, Exident	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	13	53600	18	20	4	2	5	5	2	CRB	202
158	Golemforged Plating V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	63750	18	20	4	3	10	7	3	CRB	199
159	Hellknight Plate, Paralictor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	80000	21	22	3	2	10	6	3	PWD	196
160	Inheritor Grace II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	67400	20	21	3	2	5	5	2	ARM	68
161	Kyokor Plating IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	76000	17	19	5	2	5	4	1	AA1	73
162	Vesk Overplate IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	14	71850	19	21	4	2	5	5	2	CRB	202
163	Enforcer Armor III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	15	101150	21	23	3	3	10	5	3	ARM	68
164	Enginerunner	<p>The ysoki popularized this seemingly lightweight but incredibly durable heavy armor. Small squares of dense metal lie between two layers of reinforced fiber weave, giving the appearance of a padded flight suit but offering considerably more protection.</p>	heavy	15	120900	21	22	4	0	0	5	2	CRB	199
165	Lashunta Ringwear V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	15	94200	20	22	4	2	5	5	2	CRB	202
166	Night Plate III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	16	177300	21	24	5	1	5	4	2	ARM	70
167	Steelbones	<p>A framework of metal ribs covers this suit of heavy armor. Force fields bridge the gaps between the metal ribs, which give the armor the macabre look of a metal skeleton. Officers of the Corpse Fleet favor this armor for its unsettling appearance, but steelbones can be worn by anyone who values an intimidating style.</p>	heavy	16	145500	21	22	4	3	5	6	2	CRB	202
168	Vesk Monolith II	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	16	163400	22	24	4	3	5	6	2	CRB	202
169	Aegis Series, Elite	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	17	209000	23	27	3	5	10	6	3	CRB	199
170	Dendron Armor, Sequoia	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	17	256500	23	25	4	2	5	5	2	ARM	68
171	Kalo Encounter Suit IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	360000	25	26	4	3	10	6	3	ARM	70
172	Kyokor Plating V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	371000	23	24	5	2	5	6	1	AA1	73
173	Vesk Overplate V	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	415800	24	26	4	3	5	7	2	CRB	202
174	Vitrum Plate	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	18	365650	23	24	5	0	0	4	1	CRB	202
175	Formian Plate, Myrmarch	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	557000	24	27	3	4	10	3	3	AA2	53
176	Fossilwrap III	<p>Meant for first-wave boarding actions, fossilwrap armor is a cage of alchemically treated bones and steel. This armor is meant to shrug off most incoming blows while giving the wearer some amount of mobility in the thick of combat.</p>	heavy	19	645000	25	25	6	2	5	6	2	DS03	48
177	Inheritor Grace III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	591000	25	27	4	2	5	7	2	ARM	68
178	Voidshield Armor	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	19	610250	25	26	5	3	5	7	2	CRB	202
179	Aegis Series, Specialist	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	932000	25	28	4	4	10	7	3	CRB	199
180	Night Plate IV	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	886500	25	26	6	0	0	6	2	ARM	70
181	Vesk Monolith III	<p>A character’s class and feats determine what kinds of armor they can wear. Further details about wearing armor are below.</p>	heavy	20	827250	26	27	5	2	5	7	2	CRB	202
